product_id,product_name,category,base_price,inventory_level,competitor_avg_price,sales_last_30_days,rating,review_count,season,brand_tier,material_cost,target_price
1,Premium Cotton T-Shirt,T-Shirts,29.99,150,28.50,145,4.2,128,Summer,Premium,8.50,27.99
2,Classic Denim Jeans,Jeans,89.99,75,92.00,89,4.5,203,All-Season,Premium,32.00,94.99
3,Elegant Summer Dress,Dresses,79.99,45,75.50,67,4.7,89,Summer,Mid-Range,28.00,74.99
4,Urban Bomber Jacket,Jackets,129.99,32,135.00,23,4.3,156,Fall,Premium,45.00,139.99
5,Running Sneakers,Shoes,119.99,88,115.00,134,4.6,274,All-Season,Premium,42.00,109.99
6,Leather Crossbody Bag,Accessories,149.99,23,155.00,45,4.8,92,All-Season,Luxury,55.00,159.99
7,Wool Blend Sweater,Sweaters,69.99,67,72.00,78,4.1,145,Winter,Mid-Range,25.00,64.99
8,Casual Button-Down Shirt,Shirts,49.99,112,48.00,98,4.4,187,All-Season,Mid-Range,18.00,52.99
9,High-Waisted Leggings,Activewear,39.99,198,42.00,156,4.3,312,All-Season,Mid-Range,12.00,34.99
10,Canvas Sneakers,Shoes,59.99,143,58.50,89,4.0,98,All-Season,Budget,22.00,57.99
11,Silk Scarf,Accessories,89.99,34,95.00,34,4.6,67,All-Season,Luxury,32.00,94.99
12,Denim Jacket,Jackets,99.99,56,102.00,67,4.2,134,Fall,Mid-Range,35.00,89.99
13,Athletic Shorts,Shorts,34.99,178,32.50,123,4.3,94,Summer,Mid-Range,11.00,31.99
14,Maxi Dress,Dresses,89.99,67,88.00,78,4.5,156,Summer,Mid-Range,31.00,84.99
15,Leather Boots,Shoes,179.99,34,185.00,45,4.7,189,Winter,Premium,68.00,189.99
16,Cashmere Sweater,Sweaters,199.99,23,210.00,34,4.8,78,Winter,Luxury,85.00,219.99
17,Polo Shirt,Shirts,39.99,145,38.50,112,4.2,167,Summer,Mid-Range,14.00,37.99
18,Yoga Pants,Activewear,49.99,189,52.00,134,4.4,245,All-Season,Mid-Range,16.00,44.99
19,Formal Blazer,Jackets,159.99,45,165.00,23,4.6,89,All-Season,Premium,58.00,169.99
20,Ankle Boots,Shoes,129.99,67,132.00,56,4.3,123,Fall,Premium,48.00,124.99
21,Graphic T-Shirt,T-Shirts,24.99,234,23.50,189,4.1,234,All-Season,Budget,7.50,22.99
